productId,productDisplayName,publisherDisplayName
8a27ee83-d04a-72b8-26dc-36fc90ceb7c8,3CX Desktop App,3CX
752bbff6-5cca-7dd6-ef1f-36cc75df8512,3CXPhone for Windows,3CX
5ae2c14f-0ca9-2805-430c-365e0ac7ca86,3DF Zephyr Free,3Dflow srl
307ebf5f-4e9f-ab0d-5a36-36ca7cdebd56,3DxWare 10,3Dconnexion UK
4416ffa4-2b91-8aee-54f3-35e155c6f61a,4K Video Downloader,InterPromo GMBH
a18a9c3d-e1be-9c61-28a5-36e1b11984fd,4K Video Downloader+,InterPromo GMBH
3a6307ef-6991-faf1-01e1-35e1557287aa,7-Zip,Igor Pavlov
faf81ee1-a662-4425-a274-35ebc732cb46,8x8 Work,8x8 Inc.
dcd02f8d-3451-fa96-6cfd-372f093c8ce6,AbaClient,Abacus Research AG
daaa3a7f-8fcd-bd7c-c2e8-3625e7e6cb9b,Able2Extract Professional,Investintech.com Inc.
5074acc5-1a12-b647-17c6-35e1558cfa2a,ActiveState Software Komodo Edit,ActiveState Software Inc.
0b5d556a-a3f4-758a-3d03-35e155b62dfc,ActiveState Software Komodo IDE,ActiveState Software Inc.
36060aff-6582-ff80-2f6f-35e155a7c9e8,Administrative Templates (ADMX) for Windows 10,Microsoft
97b0747a-6981-b8b3-0201-35e15572cc11,Adobe AIR,HARMAN International
89a40507-4bed-3fae-c6a1-36dfbc8d4ddf,Agent Ransack,Mythicsoft Ltd
5758e7f4-f29c-9d9e-5bd3-35e155ce5e9e,AIMP,Artem Izmaylov
75159e24-5b77-ce7c-e292-36f4c0e077e6,Air Explorer,Iniciativas Informáticas y de Comunicación
511ed790-60b1-4599-1068-36cf324a4108,Aircall for desktop,Aircall
21588051-2552-41bd-cb55-372a58e7aebe,AirParrot 2,Squirrels
170d413d-057a-58c3-d76c-37053762b110,Akiflow,Akiflow
3446f686-50eb-abd0-0d50-372862134d2d,alfaview,alfaview Gmbh
6ffbe0b8-cec0-2fce-1105-35e155847d06,ALLPlayer,ALLPLayer.org
88374178-6cab-764e-22a4-35e15598521f,Allway Sync,"Botkind, Inc."
58cdc091-1cf3-57ae-8f91-36ea52ab0f64,Altova XMLSpy Enterprise 2023,Altova
19d70636-af58-ef5c-389d-35e155afc04c,Amazon AWS Command Line Interface,Amazon Web Services Developer Relations
837f7b3b-265f-4a29-60cd-35e155d1adbd,Amazon AWS Tools for Windows,Amazon Web Services Developer Relations
42015e5c-d515-3a36-2ba4-367c880e29da,Amazon AWS VPN Client,Amazon
5b9a0e96-d425-05e7-0226-35f987a43a76,Amazon Corretto JDK 11,Amazon
93eef4c1-6d55-2858-b7fb-361dd454eb49,Amazon Corretto JDK 15,Amazon
bd085806-386f-0cff-4aca-363a78f1b639,Amazon Corretto JDK 16,Amazon
5572c062-aedb-4a97-0167-365e9e1dd8f8,Amazon Corretto JDK 17,Amazon
db3b9228-8420-3c42-5361-36888a0b1a50,Amazon Corretto JDK 18,Amazon
4473f3f4-0f27-813c-c925-36a03a6e94b6,Amazon Corretto JDK 19,Amazon
1b42ff00-6599-0341-0237-35f987a44a8e,Amazon Corretto JDK 8,Amazon
17e6872e-8f2c-b2ab-ef27-3728ffd11e11,Amazon DCV Client,NICE Software
156d5bcf-aaea-99b0-5532-35e155c7ce51,Amazon Kindle,Amazon
0d7398b1-78dd-0dc5-0b84-36cb1f3ce60e,Amazon Redshift ODBC driver,"Amazon Web Services, Inc"
0c08ad5d-a2a6-282e-40ca-35e155ba1a83,Amazon WorkSpaces,"Amazon Web Services, Inc"
2309672f-9b8a-8330-35cf-35e155acd2cb,Android Studio 2022,Android
3a6dd992-5e74-21e1-621c-365c7c6d753e,Android Studio 3,Android
249980c7-b652-cbea-621f-365c7c6e0839,Android Studio 4,Android
95c6ee2f-400e-0b25-a0bb-36fbfe327c8c,AnyBurn,AnyBurn
4ccfe027-7e9c-5d93-4e0f-35e155c2c8b3,AnyDesk,AnyDesk Software GmbH
c19bc518-8510-1282-83af-370dde3b3436,AnyLogic Professional,The AnyLogic Company
313b4fea-06e0-f5ea-8373-370dde2beec3,AnyLogic University,The AnyLogic Company
4bd89b43-5ce4-0dd6-0dc5-372fd1b6affd,Anywhere365 Integrator,Anywhere365
10528df8-53f7-510c-3ebc-35e155b7cc11,App Dynamic AirServer Universal,App Dynamic
57172b6c-7696-c617-fdc3-3747cfe130d6,Appgate SDP Client,Appgate
bb591615-bef0-74e6-04d8-35e15576c4fa,Apple iTunes,Apple Inc.
1859cc18-2258-f817-cb0a-371c2f5f71f1,Aptakube,Zandar Labs SL
e5f93561-ab9f-e78a-b687-36260fa7f091,Araxis Merge,Araxis
4052f8f7-2668-3b9f-2d3f-35e155a44e06,ArcticLine Software Jet Screenshot,ArcticLine Software
2e9f0178-c4a9-8455-35c4-35e155acc9da,Arduino IDE,Arduino
674d235c-c075-76fd-5beb-35e155ce7e7c,Articulate 360,Articulate
6e4431d4-c145-4646-c9a2-372928826743,Articulate Replay 360,Articulate
5ac3d654-71bd-86dc-2eea-35e155a76b81,Artweaver Free,Boris Eyrich Software
e844b446-1d59-09c7-b6ba-36261055403e,ASAP Utilities,A Must in Every Office BV
f59cc1fe-6bd3-3852-4874-36d70fad78e8,Astute Manager,Astute Graphics
b5471e5b-e163-ef31-4509-35e155bc7843,ASUS Remote Drive,Asus
b3f5dbc5-5eed-0cff-a212-3635c977b7d5,Atlassian Companion,Atlassian Inc
9eb28a60-63c6-d7a3-7044-36f3f2b63f46,Atlassian Confluence,Atlassian Inc
63a807a7-df4c-7a06-c198-3600cc6f65fb,Atomi Systems ActivePresenter,"Atomi Systems, Inc."
32a25be0-aaa5-34e0-1900-3746759b7a87,Atostek ID,Atostek Oy
f53f80e9-a0b0-9c4e-0215-35e155730fb7,Audacity,Audacity
44f9a979-6946-b39e-658c-3690987431d9,Autodesk Access,Autodesk Inc.
c86a2c84-16f2-9a38-0221-35e155731777,Autodesk Design Review 2018,Autodesk Inc.
e2f49cd6-6cd3-cf19-532d-37135f5ae508,Autodesk Identity Manager,Autodesk Inc.
234ae068-994c-3170-9d21-36d7a453d9af,Autodesk Interoperability Tools,Autodesk Inc.
7e3f084b-74e7-2e93-ef08-369861e38c15,Autodesk Single Signon Component,Autodesk Inc.
f64e8b7b-0dc3-1616-523a-36022c81cc46,AVer Information A+ Suite,AVer Information Inc
70ae5c69-0f51-db23-1f0d-3720b7796e50,AVS Image Converter,Ascensio System SIA
67f0f868-162c-7110-0f18-35e15581adc8,AVS Media Player,Ascensio System SIA
cd49d87e-1c72-6b53-f2ee-36b96c57f50a,AWS SAM command line interface,Amazon
55b3fd4c-ba50-138a-975e-370f7b7195fe,AWS Session Manager Plugin,Amazon Web Services
a033f4c4-da81-2776-f3fe-371b324b7ced,AxCrypt,AxCrypt AB
e8f6043f-b38b-1276-ba9d-372fd827f1c6,Axure RP,Axure
0b18a767-e4ab-8902-de39-364f8ceb04af,Azure Functions Core Tools,Microsoft
7dd2de53-e093-a7ec-753f-3708bc0ba5e8,Bambu Studio,Bambu Lab
62a1683d-24be-701c-61bf-372dad971104,BandiView,Bandisoft
6f12ea58-c8d6-0b44-ba51-363cad26b0d1,BCF Manager for Tekla,KUBUS BV
e2b3036d-a153-0251-2d5d-372c053a37ec,Beam Studio,"FLUX, Inc."
c91a71da-2049-3885-4717-36d2ec794265,Beats Winlogbeat,Elasticsearch B.V.
80320923-48fa-675b-5a33-3655fbe4bd0c,Belgium e-ID viewer,Belgian Government
3d75daff-d479-0479-09f0-35e1557b29bb,Beyond Compare,"Scooter Software, Inc."
50d21b9a-d784-f0d1-73bf-36e2d36f1c05,Beyond Identity,Beyond Identity
6187f9dd-a7d5-a72e-ccb7-36f559d8949b,BleachBit,Andrew Ziem
8b2671a4-9816-cf68-20c4-35e15596c94e,Blender,Blender Foundation
55776e43-e015-aafb-51c0-35e155c4c60b,BlueJeans 2,Blue Jeans
8652ae04-91ae-4b25-b4a0-3626acd53999,Box CLI,Box
cc6504f0-1879-6486-5bf5-35e155ce8210,Box Drive,Box
727111c6-0722-1d47-010b-3684eef9d49a,Brady Workstation,Brady Corporation
fdc2efaf-9aca-e1f2-3940-36f81c5205cc,BREAK PRO,Ergo Pro Oy
08557315-3fc1-9d37-a255-3673dff3049e,Bria Enterprise,CounterPath Corporation
e016eba3-c071-9a9b-3161-37129c7bd8c8,Bridge Designer 2016,Stephen J. Ressler
7b666b28-87dd-80e2-3831-37004a73a6d4,BrightAuthor connected,BrightSign LLC
6e038fb2-36c6-3f70-6dd5-37306e6181ce,BrowserStackLocal,BrowserStack
32e967de-834d-3a0b-03d0-36ff8eb220bd,Bulk Crap Uninstaller,Klocman
56d8abb0-11cd-7ea1-2857-35e155a039a2,Bullzip PDF to Word,Bullzip
8bbcd157-55f3-85c1-0275-35e1557354dc,BurnAware Free,Burnaware
810af46f-8981-66d7-cc2f-36258775b647,Burp Suite Community Edition,PortSwigger
9103117a-dc8f-1e54-6c10-3637cd4d7893,Burp Suite Professional Edition,PortSwigger
8b663fc8-2995-afce-d109-36e5f9777c42,Business Tax Software BLR,National Taxation Bureau Taiwan
4c003662-ff6f-1c37-64cd-36b4eb379a1f,Bytello Share,Bytello
98ee5982-fd4c-b56c-0b83-35e1557d2c46,Calibre,Kovid Goyal
a804eb9e-a0ec-6e7b-a822-37240a569833,Calibrite Profiler,Calibrite
bdcc2320-7049-c2d8-5035-36e56db2453f,Camtasia 2018,TechSmith Corporation
2e4194f1-72dc-81ea-59ed-364284afbce7,Camtasia Studio 2019,TechSmith Corporation
