Application Catalog Web Service Point -- > SQL Server,SQL over TCP,1433,Tcp
Application Catalog Website Point -- > Application Catalog Web Service Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Application Catalog Website Point -- > Application Catalog Web Service Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Asset Intelligence Synchronization Point -- > Microsoft,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Asset Intelligence Synchronization Point -- > SQL Server,SQL over TCP,1433,Tcp
Client -- > Application Catalog Website Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > Application Catalog Website Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > Client,Wake on LAN,9,Udp
Client -- > Client,Wake-up proxy,25536,Udp
Client -- > Cloud-Based Distribution Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > Configuration Manager Policy Module (Network Device Enrollment Service),Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > Configuration Manager Policy Module (Network Device Enrollment Service),Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > Distribution Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > Distribution Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > Distribution Point Configured for Multicast,Server Message Block (SMB),445,Tcp
Client -- > Fallback Status Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > Global Catalog Domain Controller,Global Catalog LDAP,3268,Tcp
Client -- > Global Catalog Domain Controller,Global Catalog LDAP SSL,3269,Tcp
Client -- > Management Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > Management Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > Management Point,Notification Channel,10123,Tcp
Client -- > Software Update Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > Software Update Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > Software Update Point,Windows Server Update Services,8530,Tcp
Client -- > Software Update Point,Secure Windows Server Update Services,8531,Tcp
Client -- > State Migration Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Client -- > State Migration Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Client -- > State Migration Point,Server Message Block (SMB),445,Tcp
Configuration Manager Console -- > Client,Remote Control (control),2701,Tcp
